recno,TYC1,TYC2,TYC3,BTmag,VTmag,HIP,RA(ICRS),DE(ICRS)
9216,55,1908,1,7.379,6.152,14315,46.15854833,1.8636025
9734,58,1618,1,4.687,2.716,14135,45.56991167,4.08992139
9659,58,607,1,5.487,5.591,14143,45.59378472,4.35287306
10433,62,1579,1,6.849,5.68,14915,48.10987306,6.660885
8480,51,704,1,8.318,6.363,13756,44.26901306,4.50097361
8358,50,1208,1,6.411,6.07,12862,41.33694694,4.71172556
10237,61,1021,1,7.567,6.359,14104,45.46783222,5.33610639
134368,641,763,1,6.521,6.017,13679,44.05721361,8.38177083
134397,641,985,1,4.567,4.681,13954,44.92873833,8.90739861
135691,650,1471,1,4.721,3.705,15900,51.20348028,9.02905611
135690,650,1470,1,5.669,5.745,16511,53.14971583,9.37355361
135689,650,1469,1,3.647,3.715,16083,51.79217583,9.73276861
135336,648,792,1,7.641,6.392,14607,47.1616425,8.47089861
135834,651,1506,1,5.887,5.959,14764,47.66156806,11.87268972
136042,653,1366,1,5.084,5.118,16322,52.60198167,11.33648083
136437,656,1281,1,6.264,6.287,16095,51.82779611,12.73530472
136324,655,1642,1,7.594,6.18,15850,51.04214833,12.62964056
8728,52,1681,1,5.96,4.968,12093,38.96869944,5.59329806
8780,53,623,1,6.727,6.291,12447,40.06526694,6.11195444
8729,52,1686,1,7.063,5.928,12114,39.01623361,6.88356944
8712,52,1494,1,7.507,6.28,12022,38.76724639,7.47127778
134104,639,1074,1,6.898,6.436,12272,39.50292889,7.69537389
134143,639,1485,1,7.147,5.928,12148,39.14625917,7.7300725
134673,643,937,1,4.635,4.305,12828,41.23493472,10.11421611
132943,632,1491,1,4.223,4.261,11484,37.03966556,8.4600875
132925,632,1400,1,7.453,6.228,11603,37.39732528,9.56562222
133435,635,692,1,5.344,5.461,11249,36.20435611,10.61059667
134455,642,412,1,6.379,6.318,12647,40.62062167,10.7417775
134672,643,936,1,5.444,5.205,12832,41.23962806,12.44595583
134400,642,47,1,6.237,5.7,12153,39.15731611,12.44783972
134790,644,770,1,8.067,6.128,14036,45.183735,10.87046917
136186,654,1755,1,7.444,6.227,14821,47.84136583,13.04780528
136185,654,1754,1,7.033,5.757,14439,46.59870222,13.18739694
269313,1223,1646,1,5.747,5.772,12803,41.13737917,15.31189667
269516,1224,1521,1,5.388,5.499,13327,42.87320222,15.08212333
269486,1224,1310,1,6.828,6.354,13448,43.29857417,16.48360611
270070,1227,1401,1,6.114,5.635,13702,44.10830167,18.02362306
270069,1227,1400,1,7.416,5.951,13654,43.95209472,18.33167333
137312,661,1403,1,4.91,5.055,17771,57.06772056,11.14336417
137753,664,811,1,6.211,6.281,18033,57.81607528,13.04612889
136461,656,1725,1,5.551,4.246,16369,52.71819694,12.93668139
271201,1235,1021,1,6.62,6.421,16924,54.44924667,15.43062167
273162,1253,716,1,6.363,5.995,18170,58.291515,17.32715444
271182,1235,821,1,7.409,6.277,17058,54.85720583,16.53676417
272821,1250,74,1,6.52,6.112,19261,61.92462639,15.16284194
273349,1255,873,1,7.45,6.206,19641,63.13052972,17.2775075
273236,1254,501,1,6.369,6.311,18717,60.15369528,17.29673417
273272,1254,867,1,7.945,6.1,19284,61.9975475,17.33991806
274667,1268,1268,1,6.545,6.133,20255,65.1043325,18.74272639
275135,1273,1106,1,6.419,6.015,20614,66.23776389,19.04209167
275134,1273,1104,1,4.813,3.635,20889,67.15390278,19.18051806
273785,1259,984,1,6.88,5.624,19388,62.29126417,19.60929083
275492,1276,1625,1,8.529,6.205,20417,65.59471,20.82141889
275065,1272,1126,1,5.227,4.947,19990,64.31535194,20.57874139
275490,1276,1623,1,5.398,5.471,20171,64.85866556,21.14241028
275489,1276,1622,1,5.973,5.662,20087,64.59644083,21.57937417
275488,1276,1621,1,5.205,5.328,20186,64.90286861,21.77359111
273271,1254,866,1,6.246,5.905,18735,60.20288,18.19406861
274304,1263,1276,1,6.35,6.162,19672,63.21352722,22.41348333
274228,1262,1646,1,6.68,5.971,19076,61.33398944,22.00920583
274227,1262,1645,1,5.708,4.463,19038,61.17359444,22.08206278
271578,1238,1180,1,7.279,6.26,16641,53.53468139,17.83356722
272118,1243,280,1,7.415,6.24,17408,55.94644139,19.665165
272194,1243,946,1,5.649,5.666,17309,55.57893694,19.70028472
270136,1228,703,1,5.969,6.098,14514,46.85702778,17.87997417
270135,1228,696,1,8.345,6.436,14586,47.08786417,18.79508611
270302,1228,2019,1,5.658,4.452,14838,47.90698333,19.72669917
272275,1244,1190,1,4.86,4.867,15110,48.72547694,21.0446225
272317,1245,387,1,6.029,6.056,15870,51.10881444,20.80351306
272371,1245,1185,1,6.689,5.217,15737,50.68862528,20.742105
272369,1245,1184,1,5.24,5.34,15627,50.30671556,21.14713861
405623,1797,1555,1,7.275,6.146,16181,52.11070222,22.80427333
273916,1260,1427,1,6.111,6.077,17453,56.11744778,20.92876861
273932,1260,1491,1,6.044,6.066,17921,57.47941333,22.24426
406034,1800,2207,1,5.362,5.427,17776,57.08668778,23.42136056
406031,1800,2204,1,4.085,4.152,17608,56.58150528,23.94845917
405874,1799,1441,1,3.558,3.674,17499,56.21885222,24.11344611
405872,1799,1439,1,3.775,3.849,17573,56.45664139,24.36785556
405873,1799,1440,1,5.384,5.441,17489,56.200845,24.28957333
406501,1803,1585,1,4.158,4.272,17531,56.30201028,24.46737556
274118,1261,1718,1,6.011,5.657,18471,59.21681278,22.47824806
408065,1813,817,1,6.069,6.04,18485,59.26584278,23.17559139
408300,1814,1647,1,6.515,5.602,19009,61.09030583,24.10602361
408567,1817,176,1,7.973,6.325,18508,59.35993861,24.46195417
406033,1800,2206,1,6.094,6.145,17900,57.43133083,23.71196083
406030,1800,2203,1,3.517,3.601,17847,57.29054722,24.05352028
406027,1800,2200,1,4.939,5.028,17851,57.29668444,24.13682222
