TYC1,TYC2,TYC3,VTmag,HIP,RA(ICRS),DE(ICRS),recno
1,8,1,12.146,,2.31754222,2.23186444,1
1,16,1,12.1,,1.05692417,1.89793306,3
1,20,1,11.398,,0.37218056,2.4803275,6
1,22,1,12.289,,1.02753611,1.45858139,7
1,24,1,11.697,,0.77423861,1.71054306,8
1,36,1,11.648,,0.29793111,1.92411389,9
1,41,1,12.235,,1.80874194,2.31573611,11
1,49,1,12.205,,1.08228861,2.12263111,12
1,54,1,11.442,,0.87812806,2.31603861,13
1,55,1,11.638,,2.46591139,2.04851833,14
1,62,1,12.523,,1.95587722,2.06032639,16
1,75,1,12.498,,1.86422889,2.08424861,17
1,92,1,12.555,,2.4612275,0.279355,19
1,98,1,11.491,,0.87486167,1.74914333,20
1,100,1,11.647,,2.37048,0.33083194,21
1,111,1,11.656,,1.88649194,2.14257083,22
1,145,1,11.766,,0.25853056,0.81772611,23
1,154,1,12.021,,0.86923694,0.74958278,25
1,156,1,12.222,,2.07999167,2.48813056,26
1,166,1,11.715,,1.47353167,0.54304028,28
1,168,1,11.93,,0.42322472,1.80697306,29
1,193,1,11.176,,2.32841694,2.46252389,31
1,197,1,11.631,,1.23256556,0.21970361,33
1,201,1,11.784,,0.60475083,1.521195,34
1,206,1,11.411,,1.34143167,2.47138472,35
1,251,1,11.529,,0.00285833,1.2473775,39
1,254,1,11.693,,0.67057833,2.00026833,40
1,297,1,11.49,,0.30278972,2.4320325,45
1,298,1,12.171,,0.06444028,1.20799667,46
1,307,1,11.974,,1.39828528,0.15581528,47
1,324,1,12.319,,0.53321056,1.70617139,49
1,329,1,11.781,,1.428135,0.83926306,50
1,342,1,11.921,,0.52127556,2.0293075,54
1,351,1,12.698,,1.16279694,2.35650444,55
1,415,1,11.627,,1.63529139,1.7501825,59
1,428,1,11.061,,1.00217833,2.24248028,60
1,433,1,11.979,,0.37635889,2.04046028,61
1,438,1,12.648,,1.02750556,2.10044361,62
1,457,1,11.244,,2.17339278,0.88574667,64
1,462,1,11.005,,1.9533375,1.31113806,65
1,465,1,11.076,,0.91189111,1.40903889,66
1,477,1,11.665,,1.55900611,1.4554975,68
1,487,1,11.332,,1.717095,1.49736583,69
1,492,1,11.278,,1.12327806,2.22544444,70
1,507,1,12.492,,2.06369528,0.86569722,71
1,510,1,11.706,,2.08079167,1.33510056,72
1,535,1,11.213,,1.513815,0.82120417,74
1,551,1,11.613,,0.27757833,1.64459361,75
1,584,1,11.314,,1.55182306,0.51717611,80
1,603,1,11.66,,0.49608333,0.86998611,82
1,621,1,12.223,,2.48983333,1.74448583,83
1,650,1,12.267,,1.81801361,0.12577833,85
1,655,1,11.772,,0.33894944,1.11613833,86
