TYC1,TYC2,TYC3,VTmag,HIP,RA(ICRS),DE(ICRS),recno
2,500,1,13.158,,3.10078139,2.27442444,230
5,22,1,13.38,,3.46013417,3.07297556,706
5,556,1,13.204,,2.95876389,4.75554028,798
6,16,1,13.925,,5.02472333,4.31455722,877
6,88,1,13.096,,6.82233083,4.20339444,885
186,435,1,13.271,,113.75035028,5.21861833,46605
10,415,1,13.209,,8.59659028,0.48500917,1631
10,963,1,13.276,,9.32375111,1.19550306,1713
11,844,1,13.09,,11.50556111,0.83888833,1886
12,1060,1,13.159,,14.52833806,1.68372722,2070
13,318,1,13.277,,8.56232111,4.97760139,2126
15,21,1,13.087,,13.24914722,3.10199611,2430
17,331,1,13.293,,10.349555,6.28455556,2833
17,398,1,13.153,,10.10031778,5.8650975,2846
18,950,1,13.648,,12.69410056,6.61349139,3081
20,704,1,13.167,,18.47302,1.37839861,3402
25,701,1,13.118,,15.42939861,5.36223083,4192
26,173,1,13.461,,19.31009361,7.06760833,4302
29,3,1,13.162,,27.43892028,2.16390861,4744
32,496,1,13.134,,25.87027139,4.56092778,5316
34,866,1,13.219,,24.85299722,5.4911175,5705
41,850,1,13.14,,33.18323139,3.84852472,6824
43,829,1,13.122,,30.11557444,5.77365111,7173
43,1062,1,13.255,,30.70591694,5.96703528,7205
45,1273,1,13.155,,37.21911306,6.4825875,7549
52,964,1,13.342,12320,39.65742944,5.46984361,8644
55,695,1,13.378,,47.43379722,2.46569667,9128
56,1177,1,13.091,,48.21050778,0.087385,9393
59,168,1,13.12,,49.16126889,3.04375111,9757
62,916,1,13.57,,48.85795694,6.83884694,10368
62,1041,1,13.137,,49.84327056,5.14229194,10381
64,400,1,13.079,,52.92798083,1.99387139,10628
66,496,1,13.106,,57.876035,1.00259361,11030
67,1187,1,13.279,,53.50641917,3.97707778,11241
69,1025,1,13.129,,58.0207275,3.36358944,11611
70,1100,1,13.084,,54.04516194,5.51839944,11750
71,1026,1,13.197,,56.73230639,7.18943333,11936
73,749,1,13.692,,62.36134972,1.44924972,12285
75,475,1,13.153,,65.05253278,2.48295917,12561
76,102,1,13.058,,61.46317083,3.24968444,12708
78,386,1,13.15,,65.20472722,2.96816389,13058
80,847,1,13.23,,63.79847722,7.27300667,13439
81,1767,1,13.103,,65.9957525,5.79568389,13646
88,333,1,13.253,,71.71601972,2.32330306,14676
88,1274,1,13.578,,71.94758611,3.415035,14814
89,487,1,13.108,,73.64927194,3.60470222,14909
90,250,1,13.559,,69.11358639,3.78889944,15093
91,1241,1,13.319,,70.907585,4.56450083,15308
92,947,1,13.51,,72.61527889,4.15579306,15539
97,197,1,13.176,,74.30278861,6.45907556,16335
98,877,1,13.111,,75.32805722,0.34922194,16620
106,107,1,13.071,,76.59737806,5.56626639,18400
106,394,1,13.139,,75.0476325,5.30605722,18465
108,216,1,13.128,,79.506725,5.21314444,18858
111,836,1,13.267,,78.04665833,6.32095778,19678
122,157,1,13.551,,83.69697361,4.70770222,21703
124,537,1,13.172,,87.34792833,5.39919222,22182
126,238,1,13.444,,83.3536425,6.40100611,22530
126,260,1,13.179,,83.35844389,6.34560778,22536
126,389,1,13.174,,83.42836444,6.93850778,22558
127,543,1,13.083,,85.28755333,7.37820944,22819
127,595,1,13.088,,84.55531278,7.23473833,22824
128,505,1,13.516,,86.97906694,7.33546806,22987
129,1353,1,13.2,,89.73669194,7.48817917,23250
130,128,1,13.078,,90.86188944,1.73205306,23321
131,1137,1,13.246,,93.6247875,1.11298972,23699
132,628,1,13.058,,95.04148861,0.30934528,23947
132,905,1,13.094,,94.88418278,1.07870472,23989
132,1700,1,13.07,,95.118335,0.62332306,24104
133,568,1,13.175,,97.48877028,1.829865,24237
139,1983,1,13.094,,92.45049444,5.07024389,25878
141,1739,1,13.282,,97.0173675,4.00063583,26489
141,1982,1,13.066,,97.23277861,3.97391111,26518
142,1534,1,13.356,,91.8196325,6.64847167,26857
143,2393,1,13.448,,92.25450556,6.41608944,27328
145,2726,1,13.383,,96.46644639,6.05137722,28138
148,638,1,13.062,,102.06620056,1.62839333,29154
148,661,1,13.139,,101.83261111,1.14535778,29161
148,666,1,13.132,,101.63108056,1.63902528,29163
148,1989,1,13.063,,101.57665694,0.36719389,29519
148,2090,1,13.132,,102.62897167,1.03866028,29558
149,110,1,13.174,,103.18883639,1.00803583,29748
149,1871,1,13.112,,104.90747028,0.82372194,30055
149,2381,1,13.321,,103.88449139,0.79830222,30127
151,4,1,13.09,,100.5335,3.55062083,30724
151,675,1,13.159,,99.97206583,2.82261861,30846
151,1057,1,13.06,,100.57181194,3.35317583,30935
152,447,1,13.43,,102.27846111,2.63370167,31365
152,711,1,13.447,,101.50486667,2.87609694,31443
152,1532,1,13.201,,102.61496667,3.48867722,31634
152,1994,1,13.357,,102.67208806,3.17066306,31739
152,2565,1,13.323,,102.26283028,3.34870861,31853
153,161,1,13.82,,103.47160056,1.97716361,31913
153,1044,1,13.147,,104.74313111,2.92697194,32088
153,1572,1,13.063,,103.34267972,2.89355222,32166
153,1983,1,13.518,,104.07754778,3.52194139,32272
153,2097,1,13.153,,103.96512194,3.47036,32300
153,2397,1,13.138,,103.29267306,3.00524194,32370
155,765,1,13.233,,100.07281889,4.0078125,32882
155,1568,1,13.128,,100.51241139,5.39461722,33023
155,2190,1,13.075,,100.9156725,5.25351667,33125
155,2732,1,13.132,,100.60106333,4.94033361,33217
155,2756,1,13.401,,101.11517667,4.71593417,33220
155,3270,1,13.077,,100.20538972,4.83666639,33308
156,137,1,13.131,,101.76913361,5.29710139,33427
156,1642,1,13.065,,102.53182528,4.40100667,33810
156,1974,1,13.513,,102.60194111,3.93559083,33895
157,162,1,13.113,,104.61656111,4.0797525,33962
157,799,1,13.258,,104.1514475,5.36052361,34086
